,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
2898,908221224,36403500,Silver,1,0,2,0,218.0,Female,Unknown,HCM,Gift to Others,Individual,1
2899,908241079,94831500,Gold,1,0,3,36,42.33333333,Female,Unknown,HCM,For Self,Individual,1
2900,908245522,71409000,Silver,2,1,14,4,50.0,Female,25-34 Years,HCM,For Self,Individual,1
2901,908248849,19740000,Silver,1,0,2,1,27.0,Female,35-44 Years,HCM,For Self,Individual,1
2902,908258584,29881000,Silver,1,0,3,0,94.0,Female,Unknown,HCM,For Self,Individual,1
2903,908272320,55499000,Silver,2,1,9,7,50.6,Female,25-34 Years,HCM,For Self,Individual,0
2904,908298568,42277000,Silver,1,0,14,0,18.07142857,Male,35-44 Years,HCM,Gift to Others,Individual,1
2905,908334025,39750000,Silver,1,0,2,0,4.0,Male,Unknown,HCM,Gift to Others,Individual,1
2906,908334995,58058000,Silver,1,0,16,28,63.70588235,Female,35-44 Years,HCM,For Self,Individual,0
2907,908337665,29570000,Silver,1,0,4,3,47.0,Female,35-44 Years,HCM,For Self,Individual,0
2908,908376668,21730000,Silver,1,0,4,0,18.75,Female,35-44 Years,HCM,For Self,Individual,1
2909,908393736,52320000,Silver,1,0,3,0,223.6666667,Female,25-34 Years,HCM,For Self,Individual,1
2911,908418828,28044000,Silver,1,0,3,10,92.33333333,Female,35-44 Years,HCM,For Self,Individual,0
2912,908422898,38782000,Silver,1,0,3,2,20.0,Female,25-34 Years,HCM,For Self,Individual,1
2913,908457488,26293000,Silver,1,0,4,0,45.25,Female,18-24 Years,HN,For Self,Individual,1
2914,908510807,34885200,Silver,1,0,7,14,33.28571429,Female,35-44 Years,HCM,For Self,Individual,1
2915,908545177,47870000,Gold,1,0,2,12,122.5,Female,35-44 Years,HCM,For Self,Individual,0
2916,908559822,37303000,Silver,1,0,7,4,79.42857143,Female,35-44 Years,HCM,For Self,Individual,1
2918,908601076,41228000,Silver,1,0,4,20,355.0,Female,18-24 Years,HCM,For Self,Individual,0
2919,908606771,21810000,Silver,1,0,2,0,20.5,Male,35-44 Years,HCM,Gift to Others,Individual,0
2920,908620906,29251000,Silver,1,0,7,13,75.57142857,Female,25-34 Years,HCM,For Self,Individual,0
2921,908664576,43890500,Gold,1,0,2,0,1.5,Female,Unknown,HCM,For Self,Individual,1
2922,908681111,21641000,Silver,1,0,2,0,77.0,Female,Unknown,HN,Gift to Others,Individual,1
2923,908693942,28893500,Silver,1,0,9,0,73.55555556,Female,25-34 Years,HCM,For Self,Individual,1
2924,908771121,65065000,Silver,2,1,11,11,90.81818182,Female,35-44 Years,HCM,For Self,Individual,0
2925,908832884,27230000,Silver,1,0,2,0,106.0,Unknown,35-44 Years,HCM,For Self,Individual,1
2926,908854567,40139500,Gold,1,0,2,17,2.5,Female,45-54 Years,HCM,For Self,Individual,1
2927,908873733,36500000,Silver,1,0,3,6,26.0,Male,35-44 Years,HCM,Gift to Others,Individual,0
2928,908881442,60098000,Gold,2,0,5,0,241.6,Female,25-34 Years,HCM,For Self,Individual,1
2929,908884471,28335200,Silver,1,0,3,3,20.66666667,Female,35-44 Years,HCM,For Self,Individual,1
2930,908885797,34420000,Silver,1,0,3,0,214.6666667,Female,Unknown,HCM,Unknown,Individual,1
2931,908889839,38804500,Gold,1,0,2,13,47.0,Female,35-44 Years,HCM,For Self,Individual,1
2932,908903988,33416000,Silver,1,0,2,17,53.5,Female,25-34 Years,HN,For Self,Individual,1
2933,908922966,33118000,Silver,1,0,5,0,114.2,Female,25-34 Years,HCM,For Self,Individual,1
2934,908951566,30413000,Silver,1,0,3,0,9.333333333,Female,18-24 Years,HCM,For Self,Individual,1
2935,908968168,33510000,Silver,1,0,2,11,3.5,Female,35-44 Years,HCM,For Self,Individual,1
2936,908968778,22394000,Silver,1,0,2,0,131.0,Female,25-34 Years,HCM,For Self,Individual,1
2937,908969261,25088000,Silver,1,0,3,9,8.666666667,Female,25-34 Years,HCM,For Self,Individual,0
2938,908977922,66903000,Silver,2,1,9,13,97.88888889,Female,18-24 Years,HCM,For Self,Individual,0
2939,909008371,24018000,Silver,1,0,4,7,17.0,Female,35-44 Years,ONLINE,For Self,Individual,1
2940,909060919,24832000,Silver,1,0,3,0,72.0,Female,25-34 Years,HCM,For Self,Individual,1
2941,909073888,25672000,Silver,1,0,2,0,51.0,Male,25-34 Years,HCM,Gift to Others,Individual,1
2942,909076176,35244000,Silver,1,0,6,5,80.33333333,Male,25-34 Years,HCM,Gift to Others,Individual,0
2943,909090427,18522000,Silver,1,0,2,0,74.0,Female,Unknown,HCM,For Self,Individual,1
2944,909097270,22540000,Silver,1,0,2,0,181.5,Female,35-44 Years,HCM,For Self,Individual,1
2945,909101083,23296000,Silver,1,0,4,3,34.5,Female,45-54 Years,HCM,For Self,Individual,1
2946,909123242,34870000,Silver,1,0,2,0,201.0,Female,35-44 Years,HCM,For Self,Company,1
2947,909151195,21402000,Silver,1,0,3,5,72.33333333,Female,25-34 Years,HCM,For Self,Individual,1
2948,909190186,27536000,Silver,1,0,3,0,6.666666667,Female,25-34 Years,HCM,For Self,Individual,1
